542  818  SP2_SP2  Y  3:2:1:  3:2:1:  C[5]-2_2_0:H-2:N[5]-2_2  N[5]-2_2_0:S-2:S[5]-2_2  646_6875_6  417_30763_6  1.3258  0.0090  2  1.3335  0.0084  11  
542  818  SP2_SP2  Y  3:2:1:  3:2:1:  C[5]-2_2_2:H-2:N[5]-2_2  N[5]-2_2_0:N[5]-2_2:O-2  646_6588_1  417_30751_1  1.3688  0.0086  5  1.3688  0.0086  5  
542  818  SP2_SP2  Y  3:2:1:  3:2:2:  C[5]-2_2_2:C[5]-2_2:H-2  N-2_2:N[5]-2_1_0:N[5]-2_2  646_6537_0  417_28863_0  1.4202  0.0000  2  1.4202  0.0000  2  
542  818  SP2_SP2  Y  3:2:1:  3:2:2:  C[5]-2_2_2:C[5]-2_2:H-2  N-3_2:N[5]-2_1_0:S[5]-2_2  646_6861_1  417_28904_1  1.3422  0.0000  1  1.3422  0.0000  1  
542  818  SP2_SP2  Y  3:2:1:  3:2:2:  C[5]-2_2_2:H-2:N[5]-2_2  N-3_2:N[5]-2_2_0:S[5]-2_2  646_6864_1  417_30762_1  1.3331  0.0055  22  1.3331  0.0055  22  
542  818  SP2_SP2  Y  3:2:1:  3:2:3:  C[5]-2_2_2:C[5]-2_2:H-2  N-2_2_0:N[5]-2_1_0:S[5]-2_2  646_6861_2  417_28900_1  1.3182  0.0000  1  1.3182  0.0000  1  
542  818  SP2_SP2  Y  3:2:1:  3:2:3:  C[5]-2_2_2:H-2:N[5]-2_2  N-2_0_0:N[5]-2_2_0:N[5]-2_2  646_6554_1  417_30753_1  1.3488  0.0000  1  1.3488  0.0000  1  
542  818  SP2_SP2  Y  3:2:1:  3:2:3:  C[5]-2_2_2:H-2:N[5]-2_2  N-2_0_0:N[5]-2_2_0:O[5]-2_2  646_6827_1  417_30757_1  1.3172  0.0000  1  1.3172  0.0000  1  
542  818  SP2_SP2  Y  3:2:1:  3:2:3:  C[5]-2_2_2:H-2:N[5]-2_2  N-2_0_0:N[5]-2_2_0:S[5]-2_2  646_6864_2  417_30761_1  1.3303  0.0094  2  1.3303  0.0051  6  
542  818  SP2_SP2  Y  3:2:1:  3:2:3:  C[5]-2_2_2:H-2:N[5]-2_2  N-2_0_0:N[5]-2_2_0:S[5]-2_2  646_6864_3  417_30761_2  1.3334  0.0007  2  1.3303  0.0051  6  
542  818  SP2_SP2  Y  3:2:1:  3:2:3:  C[5]-2_2_2:H-2:N[5]-2_2  N-2_0_0:N[5]-2_2_0:S[5]-2_2  646_6864_4  417_30761_3  1.3271  0.0011  2  1.3303  0.0051  6  
542  818  SP2_SP2  Y  3:2:1:  3:2:3:  C[5]-2_2_2:H-2:S[5]-2_2  N-2_0_0:N[5]-2_2_0:N[5]-2_2  646_6560_1  417_31066_1  1.3339  0.0000  1  1.3339  0.0000  1  
542  818  SP2_SP2  Y  3:2:1:  3:2:4:  C[5]-3_2_0:H-2:N[5]-2_2  C-3_3_3_2:N[5]-2_2_0:P[5]-2_2  646_6836_1  417_30759_1  1.3457  0.0000  1  1.3457  0.0000  1  
542  818  SP2_SP2  Y  3:2:1:  3:3:1:  C[5]-2_2_0:C[5]-2_2:H-2  C[5]-2_2_0:H-2:N[5]-2_1_0  646_4336_1  417_22382_0  1.3627  0.0000  1  1.3584  0.0100  4  
542  818  SP2_SP2  Y  3:2:1:  3:3:1:  C[5]-2_2_0:C[5]-2_2:H-2  C[5]-2_2_0:H-2:N[5]-2_1_0  646_4336_2  417_22382_1  1.3570  0.0118  3  1.3584  0.0100  4  
542  818  SP2_SP2  Y  3:2:1:  3:3:1:  C[5]-2_2_0:C[5]-2_2:H-2  C[5]-2_2_2:H-2:N[5]-2_1_0  646_4336_3  417_20972_1  1.3701  0.0000  1  1.3701  0.0000  1  
542  818  SP2_SP2  Y  3:2:1:  3:3:1:  C[5]-2_2_0:C[5]-3_2:H-2  C[5]-3_3_2:H-2:N[5]-2_1_0  646_4336_4  417_22046_1  1.3815  0.0000  1  1.3815  0.0000  1  
542  818  SP2_SP2  Y  3:2:1:  3:3:1:  C[5]-2_2_0:H-2:N[5]-2_2  C[5,6]-3_2_2:H-2:N[5]-2_2_0  646_3297_1  417_8187_1  1.3517  0.0000  1  1.3517  0.0000  1  
542  818  SP2_SP2  Y  3:2:1:  3:3:1:  C[5]-2_2_0:H-2:N[5]-2_2  C[5]-2_2_0:H-2:N[5]-2_2_0  646_4519_1  417_22409_1  1.3412  0.0000  1  1.3412  0.0000  1  
542  818  SP2_SP2  Y  3:2:1:  3:3:1:  C[5]-2_2_0:H-2:N[5]-2_2  C[5]-2_2_2:H-2:N[5]-2_2_0  646_4519_2  417_20998_1  1.3417  0.0000  1  1.3417  0.0000  1  
542  818  SP2_SP2  Y  3:2:1:  3:3:1:  C[5]-2_2_0:H-2:N[5]-2_2  H-2:N[5]-2_2_0:N[5]-2_2_0  646_6434_1  417_28869_1  1.3087  0.0150  30  1.3087  0.0150  30  
542  818  SP2_SP2  Y  3:2:1:  3:3:1:  C[5]-2_2_0:H-2:N[5]-2_2  H-2:N[5]-2_2_0:N[5]-2_2_0  646_6450_2  417_30764_0  1.3041  0.0023  2  1.3041  0.0023  2  
542  818  SP2_SP2  Y  3:2:1:  3:3:1:  C[5]-2_2_0:H-2:N[5]-2_2  H-2:N[5]-2_2_0:N[5]-2_2_2  646_6434_2  417_29081_1  1.3019  0.0100  13  1.3019  0.0100  13  
542  818  SP2_SP2  Y  3:2:1:  3:3:1:  C[5]-2_2_0:H-2:N[5]-2_2  H-2:N[5]-2_2_0:N[5]-3_2_2  646_6434_3  417_29081_1  1.3012  0.0125  10  1.2989  0.0150  12  
542  818  SP2_SP2  Y  3:2:1:  3:3:1:  C[5]-2_2_0:H-2:N[5]-2_2  H-2:N[5]-2_2_0:N[5]-3_2_2  646_6434_4  417_29081_2  1.2871  0.0275  2  1.2989  0.0150  12  
542  818  SP2_SP2  Y  3:2:1:  3:3:1:  C[5]-2_2_0:H-2:N[5]-2_2  H-2:N[5]-2_2_0:N[5]-5_2_2  646_6434_5  417_28732_1  1.3226  0.0044  2  1.3226  0.0044  2  
542  818  SP2_SP2  Y  3:2:1:  3:3:1:  C[5]-2_2_0:H-2:N[5]-2_2  H-2:N[5]-2_2_0:N[5]-6_2_2  646_6434_6  417_28732_2  1.3131  0.0000  1  1.3131  0.0000  1  
542  818  SP2_SP2  Y  3:2:1:  3:3:1:  C[5]-2_2_0:H-2:N[5]-2_2  H-2:N[5]-2_2_0:N[5]-6_2_2  646_6434_7  417_29364_1  1.3265  0.0098  2  1.3265  0.0098  2  
542  818  SP2_SP2  Y  3:2:1:  3:3:1:  C[5]-2_2_0:H-2:N[5]-2_2  N[5]-2_2_0:N[5]-2_2_0:S-2  646_6744_1  417_28874_1  1.3380  0.0051  3  1.3358  0.0087  5  
542  818  SP2_SP2  Y  3:2:1:  3:3:1:  C[5]-2_2_0:H-2:N[5]-2_2  N[5]-2_2_0:N[5]-2_2_0:S-2  646_6744_2  417_28874_2  1.3428  0.0000  1  1.3358  0.0087  5  
542  818  SP2_SP2  Y  3:2:1:  3:3:1:  C[5]-2_2_0:H-2:N[5]-2_2  N[5]-2_2_0:N[5]-2_2_0:S-2  646_6744_3  417_28874_3  1.3222  0.0000  1  1.3358  0.0087  5  
