MetalElem   OtherElem   Bonds_mean      Bonds_stdev     NumSamples
Tm          P           2.83701714      0.01963039             7  
Tm          S           2.73500179      0.06008229            39  
Tm          Se          2.84051727      0.05060012            11  
U           B           3.47095857      0.25068872             7  
U           Br          2.84365774      0.06378327            53  
U           C           2.75667639      0.24071698           952  
U           Cl          2.69452299      0.07653916           398  
U           F           2.32788152      0.11479895           501  
U           I           3.11356890      0.12341989           191  
U           N           2.49352236      0.18701915          2178  
U           O           2.21422257      0.29487271          9946  
U           P           3.17112575      0.26529907            73  
U           S           2.82353794      0.15370558           315  
U           Se          2.94230782      0.14497803           220  
V           B           2.28852700      0.04773298            10  
V           Br          2.54544000      0.02589192             7  
V           C           2.20898339      0.11138086           540  
V           Cl          2.32758925      0.08940460           134  
V           F           1.94155762      0.09344638           189  
V           I           3.42541786      0.37028155            14  
V           N           2.06793434      0.16841172           985  
V           O           1.86936946      0.19142094          5514  
V           P           2.60258722      0.24968901            90  
V           S           2.34729184      0.08828525           179  
V           Se          2.60350357      0.11507712            42  
W           B           2.27819417      0.08944460            84  
W           Br          2.66991750      0.15257275            28  
W           C           2.10264144      0.13717008          5658  
W           Cl          2.39919534      0.09609515           609  
W           F           1.96730831      0.16465473            71  
W           I           2.81620883      0.03808225            77  
W           N           2.11888424      0.20726506          1821  
W           O           1.95407358      0.20247715         20566  
W           P           2.50285849      0.07261187           911  
W           S           2.33957892      0.12292870          1114  
W           Se          2.47260631      0.11157971           122  
Y           B           2.81093773      0.34299119            22  
Y           C           2.63684377      0.19358213           613  
Y           Cl          2.67025236      0.07442482           127  
Y           F           2.24657522      0.05729687           113  
Y           I           3.05987278      0.08985443            36  
Y           N           2.43272631      0.11850763           793  
Y           O           2.35981947      0.12964575          2432  
Y           P           3.06188286      0.16919955            14  
Y           S           2.83371689      0.11626752            45  
Y           Se          2.95386774      0.06625994            31  
Yb          B           2.79700933      0.25868184            30  
Yb          Br          2.90201200      0.02650516             5  
Yb          C           2.67935157      0.19852839           662  
Yb          Cl          2.65290691      0.20705827            68  
Yb          F           2.21960772      0.09137214            92  
Yb          I           3.06168069      0.22295030            29  
Yb          N           2.43359048      0.11811228          1172  
Yb          O           2.33039940      0.11429457          3197  
Yb          P           2.91445222      0.10406954             9  
Yb          S           2.75627835      0.09534393            91  
Yb          Se          2.83393611      0.07198759            18  
Zn          B           2.35660750      0.04651036             4  
Zn          Br          2.41281506      0.18331446           561  
Zn          C           2.04851866      0.12168784          1016  
Zn          Cl          2.25867139      0.08119269          2412  
Zn          F           2.06285430      0.10714263            93  
Zn          I           2.61010434      0.18380286           274  
Zn          N           2.09034365      0.09804507         14711  
Zn          O           2.07589953      0.17464362         21518  
Zn          P           2.43514012      0.07877071            85  
Zn          S           2.39207483      0.17145957          1087  
Zn          Se          2.49231553      0.13039407           103  
Zr          B           2.54743612      0.09625761            67  
Zr          Br          2.64508351      0.09957444            57  
Zr          C           2.47489886      0.15706117          2904  
Zr          Cl          2.47294127      0.07301539           864  
Zr          F           2.07680021      0.10789498           188  
Zr          I           2.86981590      0.04802298            39  
Zr          N           2.22210894      0.15486916          1850  
Zr          O           2.13920276      0.11734298          2385  
Zr          P           2.80277903      0.15770524           175  
Zr          S           2.64691481      0.12374197           106  
Zr          Se          2.71770368      0.10235137            38  
